DATA,BANDEIRA,LOJA,QUANTIDADE,SETOR,VALIDADE
2022-01-03,JOAO,16,1,MERCEARIA COMPLEMENTAR,2021-10-20
2022-01-03,JOAO,16,4,MERCEARIA COMPLEMENTAR,2022-01-01
2022-01-03,JOAO,16,1,MERCEARIA COMPLEMENTAR,2021-12-01
2022-01-03,JOAO,16,2,MERCEARIA COMPLEMENTAR,2022-01-01
2022-01-03,JOAO,16,3,MERCEARIA COMPLEMENTAR,2021-04-30
2022-01-03,JOAO,16,2,MERCEARIA COMPLEMENTAR,2021-07-08
2022-01-03,JOAO,16,13,MERCEARIA COMPLEMENTAR,2021-11-13
2022-01-03,JOAO,16,1,MERCEARIA COMPLEMENTAR,2021-05-12
2022-01-03,JOAO,16,1,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-03,JOAO,16,1,MERCEARIA COMPLEMENTAR,2021-12-16
2022-01-03,JOAO,16,8,MERCEARIA COMPLEMENTAR,2021-12-22
2022-01-03,JOAO,16,44,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-03,JOAO,16,8,PERECIVEIS COMPLEMENTARES,2022-01-02
2022-01-03,JOAO,16,2,PERECIVEIS COMPLEMENTARES,2021-12-30
2022-01-03,JOAO,16,3,PERECIVEIS FLV,2021-12-17
2022-01-03,JOAO,16,4,PERECIVEIS FLV,2021-12-31
2022-01-03,JOAO,16,2,PERECIVEIS FLV,2021-12-30
2022-01-03,JOAO,16,7,PERECIVEIS LATICINIOS,2022-01-02
2022-01-03,JOAO,16,7,PERECIVEIS LATICINIOS,2021-12-26
2022-01-03,JOAO,16,1,PERECIVEIS LATICINIOS,2021-10-14
2022-01-03,JOAO,16,1,PERECIVEIS LATICINIOS,2021-12-02
2022-01-03,JOAO,16,1,PERECIVEIS PADARIA E CONFEITARIA,2021-12-20
2022-01-03,JOAO,34,1,PERECIVEIS CONGELADOS,2021-12-31
2022-01-03,JOAO,34,5,PERECIVEIS FLV,2022-01-01
2022-01-03,JOAO,34,2,PERECIVEIS FLV,2022-01-02
2022-01-03,JOAO,34,1,PERECIVEIS FLV,2022-01-02
2022-01-03,JOAO,34,10,PERECIVEIS FLV,2021-12-30
2022-01-03,JOAO,34,2,PERECIVEIS FLV,2021-12-30
2022-01-03,JOAO,34,2,PERECIVEIS LATICINIOS,2022-01-02
2022-01-04,JOAO,7,8,MERCEARIA COMPLEMENTAR,2021-12-18
2022-01-04,JOAO,7,1,MERCEARIA COMPLEMENTAR,2021-09-30
2022-01-04,JOAO,7,1,MERCEARIA COMPLEMENTAR,2021-10-30
2022-01-04,JOAO,7,1,MERCEARIA COMPLEMENTAR,2021-11-30
2022-01-04,JOAO,7,3,MERCEARIA COMPLEMENTAR,2021-12-25
2022-01-04,JOAO,7,1,MERCEARIA COMPLEMENTAR,2022-01-01
2022-01-04,JOAO,7,1,MERCEARIA COMPLEMENTAR,2021-10-01
2022-01-04,JOAO,7,9,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-04,JOAO,7,7,PERECIVEIS ACOUGUE,2022-01-03
2022-01-04,JOAO,7,2,PERECIVEIS COMPLEMENTARES,2021-12-25
2022-01-04,JOAO,7,6,PERECIVEIS COMPLEMENTARES,2022-01-03
2022-01-04,JOAO,7,1,PERECIVEIS COMPLEMENTARES,2021-12-24
2022-01-04,JOAO,7,7,PERECIVEIS FLV,2021-12-30
2022-01-04,JOAO,7,2,PERECIVEIS FLV,2022-01-03
2022-01-04,JOAO,7,3,PERECIVEIS FLV,2022-01-02
2022-01-04,JOAO,7,1,PERECIVEIS FLV,2022-01-02
2022-01-04,JOAO,7,3,PERECIVEIS FLV,2022-01-02
2022-01-04,JOAO,7,1,PERECIVEIS FLV,2022-01-03
2022-01-04,JOAO,7,1,PERECIVEIS FLV,2022-01-01
2022-01-04,JOAO,7,2,PERECIVEIS FLV,2021-12-30
2022-01-04,JOAO,7,12,PERECIVEIS LATICINIOS,2022-01-01
2022-01-04,JOAO,7,24,PERECIVEIS LATICINIOS,2021-12-25
2022-01-04,JOAO,7,3,PERECIVEIS LATICINIOS,2021-12-20
2022-01-04,JOAO,7,40,PERECIVEIS LATICINIOS,2021-12-30
2022-01-04,JOAO,7,1,PERECIVEIS LATICINIOS,2022-01-03
2022-01-04,JOAO,7,11,PERECIVEIS LATICINIOS,2022-01-03
2022-01-04,JOAO,7,24,PERECIVEIS LATICINIOS,2021-12-30
2022-01-04,JOAO,7,12,PERECIVEIS LATICINIOS,2021-12-25
2022-01-04,JOAO,7,2,PERECIVEIS LATICINIOS,2021-12-03
2022-01-04,JOAO,7,1,PERECIVEIS LATICINIOS,2021-12-30
2022-01-04,JOAO,7,2,PERECIVEIS LATICINIOS,2022-01-01
2022-01-04,JOAO,7,2,PERECIVEIS LATICINIOS,2021-12-31
2022-01-04,JOAO,7,1,PERECIVEIS LATICINIOS,2021-12-26
2022-01-04,JOAO,7,38,PERECIVEIS PADARIA E CONFEITARIA,2022-01-03
2022-01-04,JOAO,7,1,PERECIVEIS PADARIA E CONFEITARIA,2021-12-22
2022-01-04,JOAO,7,1,PERECIVEIS PADARIA E CONFEITARIA,2022-01-01
2022-01-04,JOAO,40,2,PERECIVEIS ACOUGUE,2022-01-03
2022-01-04,JOAO,40,1,PERECIVEIS COMPLEMENTARES,2022-01-01
2022-01-04,JOAO,40,4,PERECIVEIS FLV,2022-01-01
2022-01-04,JOAO,40,1,PERECIVEIS FLV,2022-01-02
2022-01-04,JOAO,40,4,PERECIVEIS LATICINIOS,2021-12-21
2022-01-04,JOAO,40,2,PERECIVEIS LATICINIOS,2021-12-04
2022-01-04,JOAO,40,7,PERECIVEIS LATICINIOS,2021-12-30
2022-01-04,JOAO,40,2,PERECIVEIS PADARIA E CONFEITARIA,2022-01-03
2022-01-05,JOAO,17,7,MERCEARIA COMPLEMENTAR,2022-01-02
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-12-26
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-12-29
2022-01-05,JOAO,17,3,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-05,JOAO,17,19,MERCEARIA COMPLEMENTAR,2022-01-03
2022-01-05,JOAO,17,2,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-05,JOAO,17,2,MERCEARIA COMPLEMENTAR,2021-12-15
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-11-01
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2022-01-01
2022-01-05,JOAO,17,7,MERCEARIA COMPLEMENTAR,2021-12-31
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-12-24
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-12-15
2022-01-05,JOAO,17,2,MERCEARIA COMPLEMENTAR,2021-12-24
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-12-30
2022-01-05,JOAO,17,1,MERCEARIA COMPLEMENTAR,2021-11-30
2022-01-05,JOAO,17,2,PERECIVEIS LATICINIOS,2022-01-04
